treatment_effect,ci_lower,ci_upper,GDP_Growth,Inflation,Unemployment,InterestRate,gdp_volatility,inflation_volatility,economic_stress,firm_size_proxy,firm_density,cumulative_policy,economic_regime_encoded,year
0.0024696146641968422,-0.00025031989248781123,0.005189549220881495,0.8276014487782757,0.7884393186365746,5.575,1.255,0.28363871802029544,0.16356941256456312,0.0,5085.554,2537.7015968063874,1.0,1.0,2004
0.003119210597343787,0.00046802427859303107,0.0057703969160945445,0.7353295957913952,1.0724466462980309,5.125,3.0275,0.1667699347981442,0.28280183731273195,0.0,5167.197,2577.1556109725684,1.0,1.0,2005
0.0029809616826879707,0.0010160713492658596,0.004945852016110086,0.6533855645566133,0.35155511119987215,4.625,4.8925,0.08715894811948963,0.36313738865824635,0.0,5256.39,2620.3339980059823,0.0,1.0,2006
0.0025715516597015296,-0.00037330845437489766,0.005516411773777953,0.5292150381185357,0.8908775047073103,4.625,5.13,0.1037756833877728,0.3749490193552467,0.0,5293.177,2637.357747882412,0.0,1.0,2007
0.002652318638429382,0.0007085313319765403,0.004596105944882222,-0.6364051762253853,0.9271599898524802,5.575,2.3,0.711529919578235,0.322362642375423,1.0,5232.233,2605.6937250996016,0.0,1.0,2008
0.002540515264342609,0.0012293104210457312,0.003851720107639486,0.029645199469052752,-0.047003698244488246,9.075,0.145,0.584788225305843,0.5522578595766827,1.0,5090.292,2533.7441513190643,0.0,0.0,2009
0.0028097512311661558,0.0012996118193755776,0.004319890642956729,0.6870705664387966,0.29079040024522773,9.625,0.16999999999999998,0.6617425553690947,0.49464903361846296,1.0,5018.813,2496.9218905472635,0.0,0.0,2010
0.002202350461346182,-0.001533369455442449,0.005938070378134811,0.38502842921887825,0.8696218582954662,9.0,0.10250000000000001,0.32907314429548373,0.4635646522160693,1.0,4995.859,2484.266036797613,0.0,0.0,2011
0.0027818044968266667,4.1993540732381766e-05,0.005521615452920951,0.38614852930506927,0.536203674469346,8.125,0.135,0.17406166518090307,0.2905286036692085,1.0,5042.675,2506.2997017892644,0.0,0.0,2012
0.0028961649160446474,0.00045513652375754436,0.0053371933083317495,0.7443330802971049,0.218666150445751,7.525,0.1175,0.2071220491562148,0.32551013759202446,1.0,5067.524,2517.398907103825,-1.0,0.0,2013
0.0027163749629152147,-0.0009105472557955885,0.006343297181626014,0.6669676723643408,0.40032963493888685,6.175,0.08499999999999999,0.18847677576760563,0.159318054730965,1.0,5104.509,2534.512909632572,-1.0,1.0,2014
0.002641660524100682,-0.0003151550327358081,0.005598476080937173,0.5261535630102621,0.0347353215295193,5.325,0.12,0.11061669667618448,0.1827983285031493,0.0,5151.116,2556.385111662531,-1.0,1.0,2015
0.002641660524100682,-0.0003151550327358081,0.005598476080937173,0.5410832105775587,0.41921399483961785,4.9,0.375,0.0773502914118784,0.2167331966867811,0.0,5216.688,2587.6428571428573,0.0,1.0,2016
0.0030194092120409944,0.0005934327416012826,0.005445385682480704,0.7405833824192132,0.502154841222624,4.4,0.9624999999999999,0.11972423897794586,0.2493939459366648,0.0,5251.809,2603.7724343083787,1.0,1.0,2017
0.0026020639939242857,-0.0004049753325764214,0.005609103320424992,0.527394146814586,0.617439656382629,3.9,1.7999999999999998,0.11932962695075817,0.09955164949192204,0.0,5286.921,2619.8815659068387,1.0,1.0,2018
0.0028326229991440764,0.0002879776010427208,0.005377268397245434,0.8278359123275958,0.43158651736153186,3.75,2.2625,0.15455738341992029,0.0938188558011665,0.0,5335.794,2642.7904903417534,1.0,1.0,2019
0.0020824308988023022,0.00025204517280754475,0.003912816624797062,-0.09661393791042805,0.3099896807644664,8.875,0.445,0.4715681056983994,0.15484006127938504,2.0,5340.972,2644.0455445544553,0.0,0.0,2020
0.0028009879040941975,0.001136900962409825,0.004465074845778571,1.401559830000193,1.5223722871678225,5.6,0.085,0.7558980639136256,0.6676414919440565,0.0,5397.456,2670.6857991093516,0.0,1.0,2021
0.00261084905865565,0.0007357531280369892,0.0044859449892743096,0.3284402752161325,1.88653148083891,3.7,1.2925,0.7720946943016002,0.8254259052176782,0.0,5535.295,2737.534619188922,0.0,1.0,2022
